Name,Center_X,Center_Y,DBH
Tree01,14.04040065,-43.22265763,0.334
Tree02,4.376091492,-34.99906074,0.303
Tree03,4.526431248,-32.08220093,0.484
Tree04,-1.926855633,-26.06589967,0.373
Tree05,-4.529526681,-26.52652879,0.194
Tree06,-0.800854837,-20.21545455,0.404
Tree07,0.517677929,-18.66767731,0.357
Tree08,5.39593887,-17.73536883,0.334
Tree09,-6.884832572,-10.68616582,0.236
Tree10,-9.811165794,-10.44024269,0.178
Tree11,-24.302565,-10.29122886,0.299
Tree12,-32.30235047,-20.09662577,0.433
Tree13,-30.38136821,-32.48524839,0.216
Tree14,-28.4739281,-39.52040674,0.261
Tree15,-26.981311,-45.97596591,0.169
Tree16,-7.85540291,-45.84205941,0.392
